name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Eggs - Boiled X 4,25.0,14.0,0.0,0.0,0.0,294.0,0,,
Egg Soft Boiled,7.9,6.3,0.5,0.5,88.2,90.0,0,,
2 Boiled Eggs,6.0,5.0,0.0,0.0,70.0,70.0,0,,
Sliced Hard Boiled Eggs,6.3,5.5,0.6,0.6,62.0,80.0,0,,
Hard Boiled Eggs,13.47,6.03,3.07,0.0,0.0,120.0,0,,
2 Hard Boiled Eggs,12.6,10.6,1.1,1.1,62.0,156.0,0,,
Medium Hard Boiled Eggs,5.5,4.2,0.3,0.2,62.0,63.0,0,,
2 Soft Boiled Large Eggs,12.0,10.0,2.0,0.0,130.0,140.0,0,,
4 Large,25.06,21.14,2.24,2.24,556.0,308.0,0,,
Kathy's Eggs,12.0,8.0,1.5,0.0,130.0,120.0,0,,
Hard Boiled Egg,6.0,5.0,0.0,0.0,70.0,70.0,0,,
Hard Boiled Eggs,12.0,8.0,0.0,0.0,120.0,140.0,0,,
Boiled Eggs,6.0,4.0,0.0,0.0,65.0,60.0,0,,
Boiled Peanuts,8.5,13.87,13.39,1.56,473.0,200.0,0,,
Hard  boiled eggs,11.0,10.0,1.0,1.0,110.0,140.0,0,,
Organic Hard Boiled Eggs,6.0,4.0,0.0,0.0,60.0,60.0,0,,
2 Medium Boiled Eggs,11.0,3.0,1.0,0.0,245.0,126.0,0,,
Free Range Hard Boiled Eggs,12.4,6.4,3.2,0.0,77.5,121.0,0,,
Packaged Hard Boiled Eggs,11.0,9.0,1.0,1.0,110.0,140.0,0,,
Eggs,6.0,5.0,0.6,0.0,60.0,70.0,0,,
boiled eggs target,11.0,10.0,1.0,1.0,110.0,140.0,0,,
Hard Boiled Eggs,11.0,9.0,1.0,1.0,105.0,130.0,0,,
2 Whole,12.0,10.0,1.2,1.2,100.0,156.0,0,,
2 Peeled Hard Boiled Eggs,6.0,4.0,1.0,1.0,55.0,60.0,0,,
Hard Boiled Egg -large 2017,6.29,5.3,0.56,0.56,62.0,78.0,0,,
2 Large Hard Boiled Eggs,6.0,5.0,0.0,0.0,70.0,70.0,0,,
